@W: CD638 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":243:8:243:17|Signal clk_250mhz is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":250:8:250:13|Signal pwma_d is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":251:8:251:13|Signal pwmb_d is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":253:8:253:13|Bit 9 of signal pwma_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":253:8:253:13|Bit 10 of signal pwma_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":253:8:253:13|Bit 11 of signal pwma_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":253:8:253:13|Bit 12 of signal pwma_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":253:8:253:13|Bit 13 of signal pwma_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":253:8:253:13|Bit 14 of signal pwma_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":253:8:253:13|Bit 15 of signal pwma_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":253:8:253:13|Bit 16 of signal pwma_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
